text,id,pubdate
@Helper37216548: I support it if IPOB take ARM'S That thing that will happen next 4 years should happen this year Nigeria is a terror Nigeria's Zamfara state offers repentant bandits cows for AK-47s,1298584558649184257, 
@MarkOnyewuenyi: Bunch of Fulani slaves, 1298588780568469504, 
@ELBINAWI: 1/+ Hey Tyrant @MBuhari &amp Governor @AWTambuwal If you can send 12 truck load of heavily-armed Police to the Sokoto Husseini…, 1298588786943762433, 
@ChigozieKenndy2: With Silent of IGBO Governors U all can now see who d Real Enemies are Their Royalty is Fulani Caliphate our Lives ar…, 1298588787635892224, 
@KaluMazi: The Nigeria fulani muslim controlled structures enable pays terrorism sharing information with nigeria on terroris…, 1298588788180971521, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism. Fulani @NGRPresident terrorism is terrorism. @PoliceNG ter…, 1298588790559105032, 
@TheBiafraExit: We #RejectNigeria and demand #BiafraExit #SilentSlaughter #suportBiafraReferendum @realDonaldTrump, 1298588847656312832, 
@ELBINAWI: 1/+Hey Tyrant @MBuhari &amp Governor @AWTambuwal If you can send 12 truck load of heavily-armed Police to the Sokoto Husseini…, 1298588854992146433, 
@Uncle42066693: Ive absolutely NO sympathy for any person/persons/groups directly or indirectly support/encourage or masterminding the... I'm still fucking mad Don't be please You are overreacting Overreacting Some fucking lunatic gets into my…, 1298588860084084737, 
@Chibuzo76881211: Here is another one That thin in Lagos called Igbokwe something Look at him before he started eating Fulani fruits a…, 1298588864198696961, 
@BanjoHfuhruhur: @JohnCleese Katherine Helmond and Peter Vaughan inspect the days catch in a scene from the film Time Bandits 1981.…, 1298588874055319552, 
@BanjoHfuhruhur: @JohnCleese Michael and Shelley Duvall look to their right in a scene from the film Time Bandits, 1298588888424943617, 
@JustSociety4all: John Momoh of Channels Television the official voice and image maker for the Fulani Herdsmen has been rewarded by Mu…, 1298588891964997632, 
@MaziNnamdiKanu: State terrorism is terrorism. Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism @PoliceNG ter…, 1298588896616488967, 
@ncheks2005: the fulani inspector General of Police secretly met with him on a different location to discuss the matter later agree…, 1298588915918467073, 
@ifeomaStellaAd1: When will the Army Police DSS and SARS clash with the Fulani Herdsmen, 1298588926232297474, 
@CinyereA: UK is sponsoring terrorism Stop the killings and divide your evil terrorist Company Nigeria Evil people everywhere #Biafra…, 1298588935527043079, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism @PoliceNG ter…, 1298588947493380096, 
@catboysims: Is it weird that my first reaction to thinking about my past self isnt cringe its like How do I kidnap my child self and Very very sad it's been a long time since they started killing us Its now very unbearable, 1298588969505038337,
@CinyereA: UK is sponsoring terrorism Stop the killings and divide your evil terrorist Company Nigeria Evil people everywhere #kidnappers We should and must arm ourselves to stop all these killings, 1298588991822999552, 
@MaziNnamdiKanu: Fulani herders terrorists have killed at least 3897 people in Nigeria since 2015 after Muhammadu Buhari a Fulani w…, 1298589000815521793, 
@Omambala_Chuks: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident…, 1298589013608001536,  
@ATasteOfAfrica7: The puppets place as eastern governors do not work for the people They work for the Fulani Nigerian terrorists govern…, 1298589014187020288, 
@ElochukwuOhagi: We are talking about the massacre of 21 Igbo youtns and Enugu CP who is also a Fulani Muslim is talking about the deat…, 1298589032029577216, 
@JustSociety4all: When will the Army Police DSS and SARS clash with the Fulani Herdsmen, 1298589041927962625, 
@EdoIpob: This is nigeria police officer taking picture with fulani terrorist with arms but when it comes to armless Biafrans they will…, 1298589051545620482, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism. @PoliceNG ter…, 1298589100279242754, 
@RaceEastern: What Biafrans needs now is to undermine all their Fulani propped up socio-cultural groups like #Ohanaeze led by @NniaNwodo…, 1298589102753882112, 
@oluchristty: How can we be one country with different judicial systems Support herdsmen thats the only solution to end Fulani, 1298589126590107648, 
@greggutfeld: @AriFleischer DNC had a convicted murderer who raped and tortured a kidnap victim on their roster the media dutifully, 1298589131069587457, 
@REPUBLICOFBIAF1: World leaders End Nigeria terrorism government Now support Biafra freedom, 1298589149906206720, 
@Helper37216548: I support it if IPOB take ARMS That thing that will happen next 4 years should happen this year Nigeria is a terror…, 1298589160765366274, 
@GeorgeNootFound: He needed to kidnap you dude why didnt you let him kidnap you, 1298589165764988932, 
@JamilaOthman3: My name is Jamila Im fulani from Adamawa state please since ASUU and FG are not willing to resume our schools retwee…, 1298589185339731968, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism @PoliceNG ter…, 1298589187873144835, 
@CinyereA: UK is sponsoring terrorism Stop the killings and divide your evil terrorist Company Nigeria Evil people everywhere herdsmen, 1298589191505354758, 
@Xetame: That tinubu slave in Lagos called @igbokwe_joe Look at wat he said before he started eating Fulani fruits. Today he can open hi…, 1298589191849246722, 
@trustin_god: Terrorism is burning and bombing of innocent peoples houses and churches and nigaa area government has committed terroris…, 1298589193103462402, 
@DavidOl57450723: The fulani headsmen that are killing people all around our villages when will the zoo Nigeria police and the military, 1298589209910018049, 
@ChigozieKenndy2: Eye for an Eye Self Defence If someone hurts U you hurt them back We must defend our lives or we shall perish They say theirs someone for everyone I can't stop wondering When is my someone gonna come shrink and kidnap me Nigeria when you hear Nigeria forces has arrested 155 or have captured Boko Haram fulani herdsmen bandits…, 1298589231976153088, 
@RaceEastern: What Biafrans needs now is to undermine all their Fulani propped up socio-cultural groups like Ohanaeze led by NniaNwodo…, 1298589258102517762, 
@jacobsonslyon: @markcurtis30 And they are still backing the Fulani controlled Nigeria government to annihilate the Igbo, 1298589280206553090, 
@MaziNnamdiKanu: Fulani herders terrorists have killed at least people in Nigeria since 2015 after Muhammadu Buhari a Fulani, 1298589282660159489, 
@BanjoHfuhruhur: @JohnCleese Katherine Helmond and Peter Vaughan inspect the day's catch in a scene from the Time Bandits, 1298589284702851073, 
@MalachyOdo1: Asked my friend whos a DSS official in Enugu why theyve never clashed with Fulani herdsmen and he just started, 1298589284728016897, 
@DejiAdesogan: Operation Sahel Sanity of the Nigerian Army conducted a successful raid operation of an illegal mining, 1298589287605317632, 
@TOCHUKWUNWABIA1: World leaders End Nigeria terrorism government Now support Biafra freedom, 1298589292474896389, 
@BanjoHfuhruhur: JohnCleese Michael and Shelley Duvall look to their right in a scene from the film Time Bandits, 1298589297394757632, 
@BenDike5: Victor35517418 Police will not clash with the fulani herdsmen terrorists Joe igbokwe wont see this, 1298589301756788738, 
@ElochukwuOhagi: Take on those calling themselves your leaders They are your number one enemy, 1298589303661002752, 
@ChineduConside2: When last did PoliceNG and NigeriaDss clash with fulani herdsmen and Bokoharam terrorists Killing unarmed, 1298589305175236608, 
@RaceEastern: We in IPOB strongly reject NniaNwodo his Ohanaeze the governors and other political elites DEPOSITS, 1298589314951966720, 
@MoEltiMbooKoki: Donc hier en plein Douala 5 des dizaines de jeunes bandits munis darmes blanches, 1298589357520150528, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani NGRPresident terrorism is terrorism PoliceNG, 1298589367758458881, 
@oluchristty: DEAR IGBO LEADERS FULANI  IS DOING  WHAT IS BEST FOR THEM AND THEIR PEOPLE, 1298589368366620674, 
@_SirWilliam_: If supply falls but demand remains constant it will ALWAYS lead to inflation The maize inflation is worse, 1298589375874453504, 
@AloyEjimakor: And another one said We will write this for all to read Anyone soldier or not that kills the Fulani takes, 1298589400578904066, 
@Xetame: #IPOB: volunteers in Aba holds a peaceful protest in solidarity with their Enugu counterparts murdered on Sunday, 1298589404177543168, 
@JustSociety4all: When will the Army Police DSS SARS clash with the Fulani Herdsmen, 1298589427569176576, 
@nedum030: @real @WhiteHouse @VladPutin please ask Buhari of Nigeria how many Bokoharam and Fulani herdsmen are on trial in…, 1298589431138377728, 
@RaceEastern: A people who believe in pillaging burning and looting others will not last long in the struggle of men to establish, 1298589445629677568, 
@MaziNnamdiKanu: State kidnappings is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism, 1298589463560556545, 
@VoiceOfAFO: Boko Haram and Bandits have been Killing innocent Citizens World Leaders…, 1298589476248326144, 
@BiafraGadi: Can you please tell me what these useless @PoliceNG Anti crime patrolling in Anambra Theres much crime in the northern Zo…, 1298589479838650369, 
@Helper37216548: I support it if IPOB take ARMS That thing that will happen next 4 years should happen this year Nigeria is a terror…, 1298589486411141120, 
@MalachyOdo1: Asked my friend whos a DSS official in Enugu why they ve never clashed with Fulani herdsmen and he just started, 1298589488789295105, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is kidnappings, 1298589505612656641, 
RT @ChigozieKenndy2: Dear @BorisJohnson the #British high commission to Niggeria  @CatrionaLaing1 is fantastically Corrupt, 1298589506485006336, 
@OkeZion1: Dear president Nana kufo of Ghana the man in this picture is jihadist Ahmed Nasir el rufai he is the czar of d jihadist fulani, 1298589522125631488, 
@JustSociety4all: When will the Army Police DSS and SARS clash with the Fulani Herdsmen, 1298589522129825797,  
@TimeTrench: Half waiting for the boogs to leave Feds arrive kidnap protesters and the WhErEs ThE lIbErTaRiAns schlock to go down, 1298589524948389890, 
@EdehAlexi: Thousands of #IPOB members in aba abia state under the command of mazi nnamdi kanu holds a peaceful protest in solidarity wi…, 1298589554220335104, 
@JustSociety4all: When will the Army Police DSS and SARS clash with the Fulani Herdsmen, 1298589560478273537, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism. Fulani @NGRPresident terrorism is terrorism, 1298589577960185858, 
@AllisonMillerTV: Haha didn't want the crab bandits to strike your home, 1298589598830997505, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism, 1298589669626650628, 
@IpobosisiomaLga: State sponsored terrorism is terrorism Fulani is terrorism, 1298589679466491904, 
@Bobby_Vanilla: Normal people find bandits like you fucking despicable, 1298589684222885888, 
@kahkaaeze: When last did @PoliceNG and @NigeriaDss clash with fulani herdsmen and Bokoharam terrorists Killing unarmed Igbo, 1298589685451821057, 
@MaziNnamdiKanu: State terrorism is terrorism. Fulani terrorism is terrorism. Fulani @NGRPresident terrorism is terrorism In Nigeria when you hear Nigeria forces has arrested 155 or have captured 320 Boko Haram fulani herdsmen bandits, 1298589723913527304, 
